date,station_id,station_name,region_name,province_name,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,temp_range,rain_3d,rain_7d,rain_change_1d,wind_change_1d,ddd_x_sin,ddd_x_cos,day_of_year_sin,day_of_year_cos,station_96855,missing_RR,missing_ff_x,missing_ff_avg,missing_RH_avg,anomaly_score,status
2018-04-15,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,25.0,32.0,28.0,82.0,0.0,9.7,2.0,1.0,7.0,0.0,37.1,0.0,-1.0,-0.6427876096865393,-0.766044443118978,0.9724075561219968,-0.2332885440754551,0,0,0,0,0,1.733434,NORMAL
2018-04-16,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,31.9,27.0,85.0,4.7,4.8,4.0,1.0,7.899999999999999,4.7,41.8,4.7,2.0,-0.8660254037844384,-0.5000000000000004,0.9682507501166718,-0.2499809690726521,0,0,0,0,0,1.7194425,NORMAL
2018-04-17,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,25.0,30.6,26.4,89.0,14.150000000000002,5.7,4.0,2.0,5.600000000000001,18.85,37.25,9.450000000000005,0.0,-0.8660254037844384,-0.5000000000000004,0.9638074231367308,-0.2665994206792935,0,1,0,0,0,1.6674513,NORMAL
2018-04-18,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,32.3,26.5,86.0,23.6,2.3,2.0,1.0,9.299999999999995,42.45,42.45,9.45,-2.0,-0.6427876096865396,0.7660444431189778,0.9590788900341132,-0.2831389812281835,0,0,0,0,0,1.67227,NORMAL
2018-04-19,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,32.6,26.5,87.0,35.2,5.9,3.0,1.0,9.6,72.95,77.65,11.6,1.0,-0.8660254037844386,0.5000000000000001,0.9540665500578388,-0.2995947563972602,0,0,0,0,0,1.6896768,NORMAL
2018-04-20,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,31.9,26.9,85.0,34.6,7.7,2.0,1.0,7.899999999999999,93.4,112.25,-0.6000000000000014,-1.0,-0.5000000000000004,0.8660254037844384,0.9487718864399473,-0.3159618766579029,0,0,0,0,0,1.7090971,NORMAL
2018-04-21,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,32.0,26.4,87.0,51.0,4.5,2.0,1.0,8.0,120.8,163.25,16.4,0.0,0.8660254037844386,0.5000000000000001,0.9431964659565866,-0.3322354987159043,0,0,0,0,0,1.8168801,NORMAL
2018-04-22,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,32.4,26.9,83.0,15.6,4.2,2.0,1.0,9.4,101.2,178.85,-35.4,0.0,1.2246467991473532e-16,-1.0,0.9373419384643772,-0.3484108069446808,0,0,0,0,0,1.943132,NORMAL
2018-04-23,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,31.6,26.7,85.0,0.0,4.9,4.0,1.0,7.600000000000001,66.6,174.15,-15.6,2.0,0.3420201433256687,0.9396926207859084,0.9312100364121948,-0.3644830148102912,0,0,0,0,0,1.9826026,NORMAL
2018-04-24,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,32.5,26.6,85.0,1.0,1.9,4.0,1.0,9.5,16.6,161.0,1.0,0.0,-0.7660444431189779,-0.6427876096865395,0.9248025743285088,-0.3804473662878516,0,0,0,0,0,1.9391415,NORMAL
