experiment_id,hazard,sequence_length,feature_group,n_features,train_sequences,validation_sequences,test_sequences,best_val_loss,stopped_epoch,threshold_p95,threshold_p99,threshold_p995,artifact_dir
rain_7d,curah_hujan_tinggi,7,rain_only,5,2394,1014,937,0.8536414504051208,80,3.7326470613479468,9.169132642745971,11.549763865470867,artifacts/deployment/rain_7d
wind_30d,angin_kencang,30,wind_only,7,2090,968,737,0.46293875575065613,19,1.488192993402481,3.553187344074256,3.9175432944297786,artifacts/deployment/wind_30d
