date,station_id,station_name,region_name,province_name,RR,rain_3d,rain_7d,ff_x,ff_avg,experiment_id,sequence_length,feature_group,anomaly_score,status,alert_type,triggers,threshold_p95,threshold_p99,threshold_p995
2018-12-12,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,7.7,23.1,122.09999999999998,5.0,3.0,wind_7d,7,wind_only,9.491282,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2018-12-13,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,23.1,99.79999999999998,4.0,2.0,wind_7d,7,wind_only,9.47567,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2018-12-16,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,8.0,18.200000000000003,41.299999999999976,3.0,2.0,wind_7d,7,wind_only,9.3271475,AWAS,ANOMALI_CUACA,Anomaly score above AWAS threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2020-03-07,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,1.0,93.1,266.2,6.0,2.0,wind_7d,7,wind_only,6.8730774,SIAGA,ANGIN_KENCANG,Anomaly score above SIAGA threshold; Wind above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2020-03-04,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,39.6,113.6,180.2,3.0,1.0,wind_7d,7,wind_only,6.6736617,SIAGA,CURAH_HUJAN_EKSTREM,Anomaly score above SIAGA threshold; Rainfall above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2020-03-06,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,2.3,131.70000000000002,265.2,3.0,2.0,wind_7d,7,wind_only,6.439209,SIAGA,CURAH_HUJAN_EKSTREM,Anomaly score above SIAGA threshold; Rainfall above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2020-03-05,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,89.8,153.8,262.9,5.0,2.0,wind_7d,7,wind_only,6.3862696,SIAGA,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,Anomaly score above SIAGA threshold; Rainfall above local percentile threshold; Wind above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2020-03-08,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,20.8,24.100000000000016,227.5,6.0,2.0,wind_7d,7,wind_only,6.293506,SIAGA,ANGIN_KENCANG,Anomaly score above SIAGA threshold; Wind above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2018-12-10,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,59.4,215.6,14.0,3.0,wind_7d,7,wind_only,5.850485,SIAGA,ANGIN_KENCANG,Anomaly score above SIAGA threshold; Wind above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2019-12-21,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,33.500000000000014,141.34999999999997,9.0,3.0,wind_7d,7,wind_only,5.494264,SIAGA,ANGIN_KENCANG,Anomaly score above SIAGA threshold; Wind above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2019-12-17,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,6.2,92.25,154.44999999999996,6.0,2.0,wind_7d,7,wind_only,5.3174596,SIAGA,ANGIN_KENCANG,Anomaly score above SIAGA threshold; Wind above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2019-12-18,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,15.6,52.55000000000001,134.34999999999997,6.0,3.0,wind_7d,7,wind_only,5.294593,SIAGA,ANGIN_KENCANG,Anomaly score above SIAGA threshold; Wind above local percentile threshold,1.159290349483489,1.6009646844863892,9.101164412498285
2020-12-19,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,11.2,62.10000000000002,295.29999999999995,5.0,3.0,all_7d,7,all_features,88.28501,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-12-18,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,50.6,50.90000000000003,372.8,6.0,2.0,all_7d,7,all_features,72.99614,AWAS,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,Anomaly score above AWAS threshold; Rainfall above local percentile threshold; Wind above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
